('https://astrea.linkeddata.es/shapes#417f249758906a730650755f57275b72', 'http://www.w3.org/ns/sosa/usedProcedure', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#5817518a10c6315c23a0a2201b183e69', 'https://saref.etsi.org/core/TemperatureUnit', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationConstraint', 'http://www.w3.org/ns/sosa/hasFeatureOfInterst', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#34240d68cbd95d757a10bdbf2fe6b7c0', 'http://www.w3.org/ns/sosa/madeActuation', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#9a93ec940b8010ce420ee05593beebf0', 'http://www.w3.org/ns/sosa/actsOnProperty', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#cd81dab8bce8117c90b05fbcf8d606bb', 'http://www.w3.org/ns/sosa/isHostedBy', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#6d7832e4d93e75af0ce4b1bf9ad59537', 'https://saref.etsi.org/core/StartStopState', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#755f8b4ff0f70ed4b629510f14a8804c', 'https://saref.etsi.org/core/hasOperation', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#34c0f55f8f3f3c58d9cb361df2984c77', 'https://saref.etsi.org/core/hasFeatureKind', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#a853b04756c5e216cb6c8d8cf618ca1b', 'https://saref.etsi.org/core/whenPropertyValue', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#ec4d9be43d49ce4a5080dc148f295395', 'https://saref.etsi.org/core/hasTimestamp', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#a95790c773fd7394ff9b0513a68ff506', 'https://saref.etsi.org/core/isOperationOf', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#69481c5a25b05ae065ddc1a97001d0c0', 'https://saref.etsi.org/core/hasValue', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#c4b64fa4bce8c5b66b94e01896c98bd1', 'http://www.w3.org/2004/02/skos/core#broader', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#90711c714d37b9caac33aaf635d63cdb', 'https://saref.etsi.org/core/produces', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#14ffc5caa004487c821bf9987d25341b', 'https://saref.etsi.org/core/isMeasuredIn', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#2b5c499da543fd87f9bf3dd486e4fb6e', 'https://saref.etsi.org/core/hasFunctionKind', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#77918fa8f252700e8866b9d9abb6e2e0', 'http://www.w3.org/ns/sosa/Sampler', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#01eeb0bd0ded74c005960ab39c8af70a', 'https://saref.etsi.org/core/isConsumedBy', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#c61898f24403ef1f26f4d3767e07d074', 'https://saref.etsi.org/core/Meter', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#d8fcc404ec3569ab405576151e2c63f9', 'http://www.w3.org/2004/02/skos/core#broader', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/isResultOfRangeConstraint', 'http://www.w3.org/ns/sosa/isResultOf', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('https://astrea.linkeddata.es/shapes#88d3f022bbe5ad4138183c6dd3f64ebf', 'https://saref.etsi.org/core/hasFunctionOfInterest', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#7ec20cc77837af747a47f4a28a039d49', 'https://saref.etsi.org/core/isPropertyOfInterestOf', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SensorConstraint', 'http://www.w3.org/ns/ssn/detects', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#d8fcc404ec3569ab405576151e2c63f9', 'https://saref.etsi.org/core/relatesToMeasurement', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeSamplingRangeConstraint', 'http://www.w3.org/ns/sosa/madeSampling', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationCollectionConstraint', 'http://www.w3.org/ns/sosa/usedProcedure', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#eef4e9102f8c4e433815a9af41e4f720', 'http://www.w3.org/ns/ssn/detects', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#f0c4e048fb71ff5877b599bd2e73bee4', 'https://saref.etsi.org/core/hasMeterReading', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#b2b347ba0131d115803c2ceb3e9c9456', 'https://saref.etsi.org/core/isOfferedBy', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#ba9310085cc1e7058f0ba52f255b73bc', 'http://www.w3.org/2004/02/skos/core#narrower', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#a94215bdd09d3f6476c6c0acc9696f1b', 'https://saref.etsi.org/core/StopCommand', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#c378c62f98efa2f61271d583c4ee1dde', 'https://saref.etsi.org/core/Operation', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#e61935f1cc0fbdc80be67c061e1cbf71', 'http://www.w3.org/ns/sosa/hasFeatureOfInterest', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ProcedureConstraint', 'http://www.w3.org/ns/ssn/implementedBy', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#48ea695aa98408a6ade8ae77c99c7bb4', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#451e91a2de4845ad70fbf93cbabe6582', 'https://saref.etsi.org/core/consistsOf', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/isFeatureOfInterestOfRangeConstraint', 'http://www.w3.org/ns/sosa/hosts', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('https://astrea.linkeddata.es/shapes#8045c88d72338da87d36eaa2414d9591', 'http://www.w3.org/ns/sosa/madeBySensor', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#9076e2ef4324b5e0175724840d4397c3', 'https://saref.etsi.org/core/hasIdentifier', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#b314d2d6e3881d73a5a8f9292a04f7f1', 'http://www.w3.org/2004/02/skos/core#narrower', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#0eb807de4b50dbbb4f338ddf5645226f', 'http://www.w3.org/2004/02/skos/core#narrower', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#87e177cfcafeda0bbfb9bb8ac2fe3dc6', 'https://saref.etsi.org/core/hasCommandOfInterest', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#3bcdff31e167b38099ddb7715769972c', 'http://www.w3.org/ns/sosa/usedProcedure', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#5a85c18525f8403f2a44bb904fc90c39', 'https://saref.etsi.org/core/hasPropertyValue', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#38d6484e148433078745559bfd28d51a', 'http://www.w3.org/2004/02/skos/core#narrower', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeBySamplerRangeConstraint', 'http://www.w3.org/ns/sosa/madeBySampler', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeActuationDomainConstraint', 'http://www.w3.org/ns/sosa/madeActuation', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('https://astrea.linkeddata.es/shapes#34240d68cbd95d757a10bdbf2fe6b7c0', 'http://www.w3.org/ns/ssn/implements', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SamplingConstraint', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#b0e4858dd6a7fdf0deca7b1a3e325357', 'http://www.w3.org/ns/sosa/ObservableProperty', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#755f8b4ff0f70ed4b629510f14a8804c', 'https://saref.etsi.org/core/isOfferedBy', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#14ffc5caa004487c821bf9987d25341b', 'https://saref.etsi.org/core/isMeasurementOf', 'http://www.w3.org/ns/shacl#path')
